ensembl	biotype	gene_id	chr	start	stop
ENSMUSG00000026127	protein_coding	Imp4	1	34496696	34502581
ENSMUSG00000026131	protein_coding	Dst	1	33965125	34365495
ENSMUSG00000026134	protein_coding	Prim2	1	33510656	33726631
ENSMUSG00000026141	protein_coding	Col19a1	1	24268729	24594311
ENSMUSG00000026147	protein_coding	Col9a1	1	24184449	24259577
ENSMUSG00000026153	protein_coding	Fam135a	1	24017597	24107180
ENSMUSG00000026154	protein_coding	1110058L19Rik	1	24002778	24012495
ENSMUSG00000026155	protein_coding	Smap1	1	23851685	23929156
ENSMUSG00000026156	protein_coding	B3gat2	1	23768592	23855997
ENSMUSG00000026158	protein_coding	Ogfrl1	1	23373263	23390014
ENSMUSG00000028033	protein_coding	Kcnq5	1	21388484	21952023
ENSMUSG00000033569	protein_coding	Bai3	1	25124321	25886552
ENSMUSG00000037503	protein_coding	Fam168b	1	34870064	34899910
ENSMUSG00000037509	protein_coding	Arhgef4	1	34778769	34870154
ENSMUSG00000037529	protein_coding	Prss40	1	34600820	34617788
ENSMUSG00000041670	protein_coding	Rims1	1	22276332	22911673
ENSMUSG00000041722	protein_coding	Khdc1c	1	21358412	21360926
ENSMUSG00000041779	protein_coding	Tram2	1	20986377	21069310
ENSMUSG00000041809	protein_coding	Efhc1	1	20941707	20980919
ENSMUSG00000041859	protein_coding	Mcm3	1	20793055	20810359
ENSMUSG00000041872	protein_coding	Il17f	1	20767232	20774351
ENSMUSG00000042111	protein_coding	Ccdc115	1	34493516	34496517
ENSMUSG00000042182	protein_coding	Bend6	1	33908897	33964661
ENSMUSG00000042197	protein_coding	Zfp451	1	33817317	33871440
ENSMUSG00000042215	protein_coding	Bag2	1	33802329	33814639
ENSMUSG00000042596	protein_coding	Tfap2d	1	19093103	19156427
ENSMUSG00000042686	protein_coding	Jph1	1	16987545	17087879
ENSMUSG00000043760	protein_coding	Pkhd1	1	20047860	20608145
ENSMUSG00000045174	protein_coding	Fam123c	1	34636538	34647783
ENSMUSG00000045815	protein_coding	1700101I19Rik	1	34636069	34636458
ENSMUSG00000048411	protein_coding	Gm597	1	28832989	28837097
ENSMUSG00000048874	protein_coding	Phf3	1	30859187	30930539
ENSMUSG00000050217	protein_coding	Lgsn	1	31233251	31261501
ENSMUSG00000053185	protein_coding	Gm9898	1	30775399	30776806
ENSMUSG00000058590	pseudogene	Gm6462	1	28994880	28995185
ENSMUSG00000064433	misc_RNA	Y_RNA	1	29337809	29337920
ENSMUSG00000064601	snRNA	U6	1	35818447	35818551
ENSMUSG00000064688	snRNA	U6	1	32269978	32270084
ENSMUSG00000065223	snRNA	U6	1	33350521	33350620
ENSMUSG00000065260	snRNA	U6	1	33479578	33479683
ENSMUSG00000065405	miRNA	Mir30a	1	23279108	23279178
ENSMUSG00000065480	miRNA	Mir133b	1	20672850	20672968
ENSMUSG00000065559	miRNA	Mir206	1	20669091	20669163
ENSMUSG00000065567	miRNA	Mir30c-2	1	23298540	23298623
ENSMUSG00000067736	protein_coding	Gm10222	1	24619243	24619539
ENSMUSG00000067750	protein_coding	Khdc1a	1	21339722	21342281
ENSMUSG00000067773	protein_coding	Defb41	1	18241061	18255219
ENSMUSG00000067780	protein_coding	Pi15	1	17591982	17621019
ENSMUSG00000070175	snRNA	U6	1	20434892	20434993
ENSMUSG00000070960	pseudogene	Gm10307	1	31672836	31673507
ENSMUSG00000070977	pseudogene	Defb44-ps	1	18200134	18213645
ENSMUSG00000073722	protein_coding	4931408C20Rik	1	26738659	26744305
ENSMUSG00000073725	protein_coding	Lmbrd1	1	24685383	24823144
ENSMUSG00000073730	protein_coding	4933415F23Rik	1	23107312	23109092
ENSMUSG00000073735	protein_coding	Defb18	1	18226554	18227524
ENSMUSG00000077231	snoRNA	SNORA17	1	35235801	35235929
ENSMUSG00000077314	snoRNA	SNORA17	1	20905491	20905621
ENSMUSG00000077463	snoRNA	SNORA64	1	24555680	24555816
ENSMUSG00000077664	snoRNA	SNORA17	1	31316438	31316564
ENSMUSG00000080391	miRNA	AC163659.1	1	29418120	29418215
ENSMUSG00000080625	miRNA	AC163659.2	1	29358325	29358424
ENSMUSG00000080849	pseudogene	Gm15702	1	25280575	25281018
ENSMUSG00000081402	pseudogene	Gm15455	1	33892744	33895759
ENSMUSG00000081557	pseudogene	Gm5697	1	28857083	28859566
ENSMUSG00000082159	pseudogene	Gm7910	1	31792901	31793737
ENSMUSG00000082935	pseudogene	Gm7658	1	21502014	21503137
ENSMUSG00000084506	snRNA	U6	1	34038255	34038347
ENSMUSG00000084668	snoRNA	SNORD29	1	19503936	19504000
ENSMUSG00000084740	snRNA	U6	1	25507916	25508019
ENSMUSG00000085079	protein_coding	Khdc1b	1	21373637	21376465
ENSMUSG00000085125	lincRNA	Gm16070	1	17666108	17717727
ENSMUSG00000085507	pseudogene	Gm2709	1	21362751	21363845
ENSMUSG00000085679	pseudogene	Gm16328	1	21380987	21381182
ENSMUSG00000086194	pseudogene	Gm16329	1	21344086	21345197
ENSMUSG00000086240	pseudogene	Gm7846	1	28637343	28637618
ENSMUSG00000086726	pseudogene	Gm9458	1	31043070	31043798
ENSMUSG00000086727	protein_coding	4931428L18Rik	1	31197923	31279506
ENSMUSG00000088111	snoRNA	SNORA17	1	26623678	26623783
ENSMUSG00000088620	snRNA	U6	1	31713477	31713583
ENSMUSG00000088750	snRNA	U6	1	33248838	33248947
ENSMUSG00000088800	snoRNA	SNORA17	1	18959843	18959914
ENSMUSG00000088858	snoRNA	SNORA17	1	20832616	20832747
ENSMUSG00000089395	misc_RNA	7SK	1	32783484	32783775
ENSMUSG00000089489	snRNA	U7	1	32625204	32625266
ENSMUSG00000089534	snoRNA	SNORA17	1	17510082	17510192
ENSMUSG00000089553	snoRNA	SNORA17	1	23252050	23252170
ENSMUSG00000089787	antisense	Gm15825	1	19053380	19094921
ENSMUSG00000089914	antisense	4930486I03Rik	1	20371174	20382381
ENSMUSG00000090142	pseudogene	Gm15795	1	20434339	20434641
ENSMUSG00000091020	pseudogene	Gm5828	1	16757095	16760241
ENSMUSG00000091318	protein_coding	Gm5415	1	32600391	32604138
ENSMUSG00000092852	miRNA	Mir5103	1	34489966	34490044
ENSMUSG00000001138	protein_coding	Cnnm3	1	36568712	36585082
ENSMUSG00000001143	protein_coding	Lman2l	1	36478910	36502116
ENSMUSG00000003134	protein_coding	Tbc1d8	1	39428344	39535592
ENSMUSG00000003135	protein_coding	D1Bwg0212e	1	39591837	39603726
ENSMUSG00000008136	protein_coding	Fhl2	1	43179919	43220806
ENSMUSG00000010290	protein_coding	AI597479	1	43155555	43172792
ENSMUSG00000010453	protein_coding	4632411B12Rik	1	36392575	36426026
ENSMUSG00000026051	protein_coding	1500015O10Rik	1	43787447	43799423
ENSMUSG00000026062	protein_coding	Slc9a2	1	40738557	40825730
ENSMUSG00000026065	protein_coding	Slc9a4	1	40637072	40687576
ENSMUSG00000026068	protein_coding	Il18rap	1	40572207	40608550
ENSMUSG00000026069	protein_coding	Il1rl1	1	40486415	40522260
ENSMUSG00000026070	protein_coding	Il18r1	1	40522397	40557699
ENSMUSG00000026072	protein_coding	Il1r1	1	40281925	40373043
ENSMUSG00000026073	protein_coding	Il1r2	1	40141613	40182064
ENSMUSG00000026074	protein_coding	Map4k4	1	39957758	40083155
ENSMUSG00000026077	protein_coding	Npas2	1	39250576	39420079
ENSMUSG00000026078	protein_coding	Pdcl3	1	39044659	39054081
ENSMUSG00000026080	protein_coding	Chst10	1	38920722	38955005
ENSMUSG00000026082	protein_coding	Rev1	1	38109632	38186507
ENSMUSG00000026083	protein_coding	Eif5b	1	38054855	38112424
ENSMUSG00000026085	protein_coding	Lyg1	1	38003581	38014604
ENSMUSG00000026087	protein_coding	Mrpl30	1	37947322	37955380
ENSMUSG00000026088	protein_coding	Mitd1	1	37931646	37947256
ENSMUSG00000026090	protein_coding	2010300C02Rik	1	37668522	37776930
ENSMUSG00000026110	protein_coding	Mgat4a	1	37496185	37597861
ENSMUSG00000026111	protein_coding	Unc50	1	37487015	37495969
ENSMUSG00000026112	protein_coding	6330578E17Rik	1	37473929	37486948
ENSMUSG00000026113	protein_coding	Inpp4a	1	37356710	37467581
ENSMUSG00000026114	protein_coding	Cnga3	1	37275181	37320229
ENSMUSG00000026116	protein_coding	Tmem131	1	36849036	36996372
ENSMUSG00000026117	protein_coding	Zap70	1	36818695	36839663
ENSMUSG00000026121	protein_coding	Sema4c	1	36605487	36615194
ENSMUSG00000037138	protein_coding	Aff3	1	38234171	38721800
ENSMUSG00000037216	protein_coding	Lipt1	1	37928583	37934232
ENSMUSG00000037351	protein_coding	Actr1b	1	36756047	36771267
ENSMUSG00000037408	protein_coding	Cnnm4	1	36528442	36565621
ENSMUSG00000037432	antisense	Fer1l5	1	36473733	36478955
ENSMUSG00000037447	protein_coding	Arid5a	1	36364578	36380874
ENSMUSG00000037470	protein_coding	Uggt1	1	36198375	36301150
ENSMUSG00000041763	protein_coding	Tpp2	1	43990847	44059844
ENSMUSG00000041878	protein_coding	8430432A02Rik	1	43149433	43150680
ENSMUSG00000041907	protein_coding	Gpr45	1	43088905	43090450
ENSMUSG00000041945	protein_coding	Mfsd9	1	40828883	40847532
ENSMUSG00000045216	protein_coding	Hs6st1	1	36125245	36163291
ENSMUSG00000045515	protein_coding	Pou3f3	1	42753991	42757052
ENSMUSG00000046337	protein_coding	Fam178b	1	36619539	36740028
ENSMUSG00000047180	protein_coding	Neurl3	1	36321447	36330270
ENSMUSG00000048234	protein_coding	Rnf149	1	39608141	39634250
ENSMUSG00000048814	protein_coding	Lonrf2	1	38850514	38892935
ENSMUSG00000050122	protein_coding	Vwa3b	1	37083441	37133841
ENSMUSG00000050967	protein_coding	Creg2	1	39675251	39708027
ENSMUSG00000053640	protein_coding	Gm9915	1	42286571	42287953
ENSMUSG00000057173	protein_coding	Rfx8	1	39722151	39777842
ENSMUSG00000057363	protein_coding	Uxs1	1	43803811	43884645
ENSMUSG00000058407	protein_coding	Txndc9	1	38040712	38054191
ENSMUSG00000060424	antisense	2610017I09Rik	1	42705007	42724517
ENSMUSG00000060679	protein_coding	Mrps9	1	42908078	42962527
ENSMUSG00000060771	protein_coding	Tsga10	1	37811417	37922143
ENSMUSG00000061518	protein_coding	Cox5b	1	36748332	36750230
ENSMUSG00000061584	protein_coding	Lyg2	1	37962766	37973338
ENSMUSG00000064936	snoRNA	SNORA33	1	39630591	39630720
ENSMUSG00000065629	snoRNA	U3	1	39576378	39576591
ENSMUSG00000066877	protein_coding	Nck2	1	43502596	43627360
ENSMUSG00000067604	protein_coding	Nms	1	38995994	39007123
ENSMUSG00000067653	protein_coding	Ankrd23	1	36587379	36592584
ENSMUSG00000070939	protein_coding	Tgfbrap1	1	43104114	43155467
ENSMUSG00000070942	protein_coding	Il1rl2	1	40381472	40422316
ENSMUSG00000073702	protein_coding	Rpl31	1	39424696	39428753
ENSMUSG00000077448	snoRNA	SNORA17	1	42923530	42923663
ENSMUSG00000077704	snoRNA	Snord89	1	39605590	39605699
ENSMUSG00000077939	miRNA	AC084389.1	1	36720810	36720884
ENSMUSG00000079588	protein_coding	Tmem182	1	40862446	40912789
ENSMUSG00000079610	protein_coding	Ankrd39	1	36595018	36604046
ENSMUSG00000080054	protein_coding	Rpl12-ps1	1	37014738	37015362
ENSMUSG00000085280	antisense	Gm16151	1	38364747	38368775
ENSMUSG00000085391	antisense	Gm16150	1	38292265	38303511
ENSMUSG00000085894	processed_transcript	Gm15832	1	39604415	39608847
ENSMUSG00000086064	antisense	4930439A04Rik	1	37386512	37391017
ENSMUSG00000087131	antisense	Gm16152	1	38441794	38450819
ENSMUSG00000087233	pseudogene	4930594C11Rik	1	37544038	37545827
ENSMUSG00000087374	antisense	Gm15457	1	37990441	38010981
ENSMUSG00000087589	lincRNA	D430040D24Rik	1	36615204	36622458
ENSMUSG00000088848	snoRNA	SNORA17	1	43959773	43959897
ENSMUSG00000089088	miRNA	AC112941.1	1	43093690	43093774
ENSMUSG00000089141	misc_RNA	7SK	1	38030812	38031048
ENSMUSG00000089767	antisense	4930556I23Rik	1	37671104	37672217
ENSMUSG00000089906	pseudogene	Gm6428	1	36658647	36658991
ENSMUSG00000090243	pseudogene	Gm16103	1	43842755	43844033
ENSMUSG00000091937	protein_coding	Gm3646	1	39861028	39861189
ENSMUSG00000092553	pseudogene	Gm20428	1	39333128	39333410
ENSMUSG00000092563	pseudogene	Gm3617	1	39371744	39372298
ENSMUSG00000093436	sense_overlapping	RP23-114H2.1	1	42751770	42797813
ENSMUSG00000002881	protein_coding	Nab1	1	52514138	52557523
ENSMUSG00000018417	protein_coding	Myo1b	1	51806609	51972915
ENSMUSG00000025971	protein_coding	9430016H08Rik	1	57463172	57474797
ENSMUSG00000025977	protein_coding	Boll	1	55305502	55420313
ENSMUSG00000025978	protein_coding	Rftn2	1	55227003	55283626
ENSMUSG00000025979	protein_coding	Mob4	1	55188075	55211743
ENSMUSG00000025980	protein_coding	Hspd1	1	55134679	55145087
ENSMUSG00000025981	protein_coding	Coq10b	1	55109614	55129545
ENSMUSG00000025982	protein_coding	Sf3b1	1	55042013	55084322
ENSMUSG00000025983	protein_coding	Ccdc150	1	54307527	54425571
ENSMUSG00000025986	protein_coding	Slc39a10	1	46864389	46910891
ENSMUSG00000025993	protein_coding	Slc40a1	1	45964915	45982439
ENSMUSG00000025995	protein_coding	Wdr75	1	45852011	45880464
ENSMUSG00000026042	protein_coding	Col5a2	1	45431166	45560127
ENSMUSG00000026043	protein_coding	Col3a1	1	45368383	45406551
ENSMUSG00000026047	protein_coding	Kdelc1	1	44148308	44175653
ENSMUSG00000026048	protein_coding	Ercc5	1	44204589	44238105
ENSMUSG00000026049	protein_coding	1700029F09Rik	1	44143458	44159286
ENSMUSG00000026094	protein_coding	Stk17b	1	53812350	53842068
ENSMUSG00000026095	protein_coding	Asnsd1	1	53382351	53409596
ENSMUSG00000026096	protein_coding	Osgepl1	1	53370468	53383187
ENSMUSG00000026097	protein_coding	Ormdl1	1	53353939	53367153
ENSMUSG00000026098	protein_coding	Pms1	1	53246031	53353862
ENSMUSG00000026100	protein_coding	Mstn	1	53118507	53124923
ENSMUSG00000026102	protein_coding	Inpp1	1	52846257	52874532
ENSMUSG00000026103	protein_coding	Gls	1	52220292	52290076
ENSMUSG00000026104	protein_coding	Stat1	1	52176282	52218704
ENSMUSG00000026107	protein_coding	Obfc2a	1	51526342	51535243
ENSMUSG00000026109	protein_coding	Tmeff2	1	50957491	51244114
ENSMUSG00000038305	protein_coding	Spats2l	1	57831006	58005241
ENSMUSG00000038323	protein_coding	1700066M21Rik	1	57434464	57442267
ENSMUSG00000038331	protein_coding	Satb2	1	56850830	57035494
ENSMUSG00000038349	protein_coding	Plcl1	1	55463232	55808646
ENSMUSG00000041144	protein_coding	Dnahc7b	1	46123583	46430395
ENSMUSG00000041303	protein_coding	Gtf3c3	1	54454425	54495815
ENSMUSG00000041426	protein_coding	Hibch	1	52901857	52977830
ENSMUSG00000041439	protein_coding	Mfsd6	1	52713130	52784306
ENSMUSG00000041684	protein_coding	Bivm	1	44175802	44201615
ENSMUSG00000041763	protein_coding	Tpp2	1	43990847	44059844
ENSMUSG00000042807	protein_coding	Hecw2	1	53863726	54252012
ENSMUSG00000043015	protein_coding	Tmem194b	1	52687549	52708763
ENSMUSG00000043629	protein_coding	1700019D03Rik	1	52979168	53020104
ENSMUSG00000044457	protein_coding	Gm4776	1	46076917	46087314
ENSMUSG00000045336	protein_coding	Hsfy2	1	56692897	56694295
ENSMUSG00000045954	protein_coding	Sdpr	1	51345970	51359803
ENSMUSG00000046828	protein_coding	4832428D23Rik	1	44260915	44275806
ENSMUSG00000046994	protein_coding	Mars2	1	55294021	55296902
ENSMUSG00000047343	protein_coding	A530098C11Rik	1	44066253	44076879
ENSMUSG00000048495	protein_coding	1110034B05Rik	1	57445081	57463945
ENSMUSG00000051616	protein_coding	C230029F24Rik	1	49301460	49395090
ENSMUSG00000052331	protein_coding	Ankrd44	1	54702184	54983231
ENSMUSG00000056870	protein_coding	Gulp1	1	44608356	44853678
ENSMUSG00000060715	protein_coding	1700019A02Rik	1	53215421	53244461
ENSMUSG00000061863	pseudogene	Gm6822	1	55217584	55217897
ENSMUSG00000062939	protein_coding	Stat4	1	52043992	52164032
ENSMUSG00000064943	snRNA	U1	1	48519017	48519137
ENSMUSG00000065192	snRNA	U6	1	52501280	52501388
ENSMUSG00000065255	snoRNA	SNORA55	1	45803740	45803870
ENSMUSG00000070896	protein_coding	Rpl23a-ps1	1	46038393	46038860
ENSMUSG00000072324	protein_coding	Gm8420	1	51997494	51998105
ENSMUSG00000073676	protein_coding	Hspe1	1	55144976	55148151
ENSMUSG00000073678	protein_coding	Pgap1	1	54529844	54532810
ENSMUSG00000077776	snoRNA	SNORA17	1	57479088	57479217
ENSMUSG00000078291	protein_coding	Gm3940	1	52147479	52147910
ENSMUSG00000081185	pseudogene	Gm4852	1	47422488	47423216
ENSMUSG00000084531	misc_RNA	7SK	1	50616606	50616919
ENSMUSG00000084817	pseudogene	Gm5526	1	45914177	45914632
ENSMUSG00000087022	antisense	9130024F11Rik	1	57028335	57032041
ENSMUSG00000087764	misc_RNA	RNaseP_nuc	1	45829807	45830009
ENSMUSG00000087949	snRNA	U1	1	53943672	53943785
ENSMUSG00000088017	misc_RNA	7SK	1	47808143	47808412
ENSMUSG00000088353	snRNA	U1	1	57524714	57524870
ENSMUSG00000089245	miRNA	AC151572.1	1	54826062	54826166
ENSMUSG00000089334	snoRNA	SNORA17	1	53156894	53156994
ENSMUSG00000089670	pseudogene	Gm16581	1	55184141	55185131
ENSMUSG00000089703	pseudogene	Gm15833	1	44269007	44269963
ENSMUSG00000089802	pseudogene	Gm16107	1	52929981	52930842
ENSMUSG00000089877	pseudogene	Gm16102	1	44701124	44701543
ENSMUSG00000090106	pseudogene	Gm15838	1	44075315	44075494
ENSMUSG00000090682	protein_coding	Gm3852	1	46068602	46068865
ENSMUSG00000091844	protein_coding	Gm8251	1	44112797	44118781
ENSMUSG00000092657	miRNA	AC122925.1	1	53500115	53500239
ENSMUSG00000092790	miRNA	AC122246.1	1	49152288	49152729
ENSMUSG00000092906	miRNA	AC098743.1	1	51072157	51072257
ENSMUSG00000025952	protein_coding	Crygc	1	65118099	65120263
ENSMUSG00000025955	protein_coding	Akr1cl	1	65059263	65079333
ENSMUSG00000025956	protein_coding	Mettl21a	1	64653047	64663816
ENSMUSG00000025958	protein_coding	Creb1	1	64579378	64651121
ENSMUSG00000025959	protein_coding	Klf7	1	64076021	64168856
ENSMUSG00000025961	protein_coding	4933402D24Rik	1	63801481	63815841
ENSMUSG00000025962	protein_coding	Fastkd2	1	63777188	63801229
ENSMUSG00000025963	protein_coding	Mdh1b	1	63745393	63776892
ENSMUSG00000025964	protein_coding	Adam23	1	63492465	63643089
ENSMUSG00000025967	protein_coding	Eef1b2	1	63223399	63227060
ENSMUSG00000025968	protein_coding	Ndufs1	1	63190170	63223396
ENSMUSG00000025969	protein_coding	Nrp2	1	62749859	62865269
ENSMUSG00000026009	protein_coding	Icos	1	61034771	61057164
ENSMUSG00000026011	protein_coding	Ctla4	1	60943844	60972676
ENSMUSG00000026012	protein_coding	Cd28	1	60773644	60830203
ENSMUSG00000026014	protein_coding	Raph1	1	60540080	60623948
ENSMUSG00000026017	protein_coding	Carf	1	60155091	60207876
ENSMUSG00000026018	protein_coding	Ica1l	1	60045914	60099931
ENSMUSG00000026019	protein_coding	Wdr12	1	60133712	60155489
ENSMUSG00000026020	protein_coding	Nop58	1	59741853	59768968
ENSMUSG00000026021	protein_coding	Sumo1	1	59696278	59727678
ENSMUSG00000026023	protein_coding	Cdk15	1	59313750	59409837
ENSMUSG00000026024	protein_coding	Als2	1	59219770	59294075
ENSMUSG00000026027	protein_coding	Stradb	1	59030366	59052559
ENSMUSG00000026028	protein_coding	Trak2	1	58957293	59030274
ENSMUSG00000026029	protein_coding	Casp8	1	58852218	58904347
ENSMUSG00000026031	protein_coding	Cflar	1	58768352	58815728
ENSMUSG00000026032	protein_coding	Ndufb3	1	58643228	58652808
ENSMUSG00000026034	protein_coding	Clk1	1	58467033	58480910
ENSMUSG00000026035	protein_coding	Ppil3	1	58487838	58502330
ENSMUSG00000026036	protein_coding	Nif3l1	1	58501995	58538660
